year(Date),FieldOfStudyId,Gender,Authorships
1971.0,192562407,1,17691
1918.0,39432304,1,472
2017.0,17744445,0,42961
1956.0,71924100,0,3130
1942.0,41008148,1,1522
1932.0,192562407,1,4337
1946.0,192562407,0,295
1974.0,95457728,0,2025
1875.0,138885662,1,259
1902.0,205649164,0,51
1936.0,86803240,0,615
1924.0,192562407,1,2998
1872.0,192562407,1,40
1926.0,41008148,1,2437
1934.0,205649164,1,1347
1889.0,95457728,1,478
2003.0,144133560,1,29414
1997.0,142362112,1,20824
2003.0,144024400,1,25148
1974.0,17744445,0,3360
1991.0,192562407,1,100599
1957.0,192562407,1,11436
1996.0,15744967,1,37010
1972.0,185592680,1,56799
2004.0,144133560,1,32072
1985.0,121332964,0,3576
1951.0,138885662,1,2903
1974.0,127413603,0,2163
1941.0,185592680,1,5278
1940.0,205649164,1,1645
1970.0,71924100,0,7505
1915.0,17744445,1,819
1920.0,144024400,1,299
1883.0,71924100,1,813
1981.0,33923547,0,2333
1967.0,138885662,0,777
1843.0,41008148,1,70
1943.0,15744967,1,1382
1958.0,138885662,0,432
1927.0,15744967,0,376
2019.0,15744967,0,115495
1970.0,127313418,0,788
1892.0,138885662,1,504
1935.0,144133560,1,587
1854.0,127313418,1,65
1853.0,15744967,1,15
1862.0,138885662,1,145
2020.0,192562407,1,308587
1916.0,192562407,1,1001
2020.0,95457728,1,10739
2021.0,138885662,0,164
2005.0,192562407,1,223445
2013.0,17744445,1,67347
1992.0,138885662,0,2778
2001.0,144133560,1,25997
1981.0,185592680,1,96815
1887.0,71924100,1,1100
1977.0,86803240,1,32554
1990.0,162324750,1,13754
1970.0,41008148,0,1695
1935.0,15744967,0,486
1957.0,95457728,1,3563
1968.0,144133560,1,2783
1973.0,185592680,0,13565
1996.0,39432304,0,5201
1973.0,95457728,0,2006
1962.0,144024400,0,529
1937.0,138885662,1,1760
1860.0,17744445,1,106
1844.0,41008148,1,68
1936.0,127313418,1,1041
1944.0,71924100,1,6227
1939.0,121332964,1,1099
1950.0,39432304,1,1789
1922.0,144024400,1,344
1866.0,41008148,1,87
2021.0,162324750,1,1811
1955.0,41008148,0,439
1961.0,17744445,1,5178
2001.0,192562407,1,180427
1972.0,39432304,1,3859
1994.0,86803240,1,119463
1972.0,127413603,0,1453
1901.0,205649164,1,602
2014.0,142362112,0,19646
2000.0,144024400,0,13789
1994.0,17744445,0,9344
2010.0,162324750,1,48036
1982.0,205649164,1,11246
1980.0,162324750,1,9171
2015.0,39432304,1,68007
1981.0,95457728,1,10234
1978.0,127313418,1,9778
1933.0,127413603,1,3301
1962.0,39432304,1,2747
1905.0,138885662,1,739
1858.0,95457728,1,300
1984.0,95457728,0,3636
1801.0,17744445,1,9
1944.0,205649164,1,1213
1945.0,127413603,0,513
1977.0,33923547,0,1700
1909.0,71924100,1,2814
1934.0,162324750,0,92
1959.0,127313418,0,369
1915.0,205649164,0,133
1852.0,205649164,1,161
1894.0,192562407,1,130
2021.0,86803240,1,17169
1975.0,71924100,1,40126
1988.0,185592680,1,139026
2014.0,17744445,1,66441
2015.0,33923547,1,130574
2002.0,205649164,0,12619
1972.0,71924100,0,8089
1890.0,205649164,1,507
1958.0,41008148,1,5609
1956.0,142362112,1,5696
1966.0,127313418,0,534
1994.0,205649164,0,6080
1958.0,39432304,1,2428
1937.0,95457728,1,1997
2015.0,185592680,1,269879
1938.0,71924100,1,7655
2016.0,86803240,1,307272
1997.0,144133560,0,6397
1879.0,15744967,1,69
1946.0,142362112,0,612
1973.0,144024400,0,1960
1925.0,95457728,1,1235
1924.0,86803240,1,1724
1942.0,144133560,1,654
1953.0,41008148,0,411
1854.0,15744967,1,58
1896.0,95457728,1,650
1907.0,142362112,1,1606
1919.0,15744967,0,133
1908.0,144024400,0,47
1872.0,185592680,0,14
1918.0,127413603,1,800
1903.0,192562407,1,628
1876.0,138885662,1,261
1949.0,162324750,1,828
2021.0,127413603,1,885
2003.0,127413603,0,29352
1999.0,33923547,0,12695
1983.0,41008148,0,4704
2007.0,192562407,0,83158
1996.0,17744445,0,10375
2007.0,127313418,0,15450
1892.0,142362112,1,1160
