year(Date),FieldOfStudyId,Gender,Authorships
1971.0,192562407,1,26730
1926.0,41008148,1,2674
2010.0,33923547,1,195754
2012.0,185592680,1,610621
1953.0,185592680,1,18630
1991.0,185592680,0,68614
1974.0,95457728,0,2266
1961.0,121332964,1,6950
1942.0,41008148,1,1730
1934.0,205649164,1,1495
1956.0,71924100,0,3553
1932.0,192562407,1,4966
1949.0,41008148,1,3977
1861.0,142362112,1,520
1946.0,192562407,0,304
1880.0,121332964,1,139
1850.0,185592680,1,59
1918.0,39432304,1,525
2017.0,17744445,0,59248
1875.0,138885662,1,283
1872.0,192562407,1,46
1924.0,192562407,1,3330
1889.0,95457728,1,555
1936.0,86803240,0,659
2004.0,144133560,1,49943
1996.0,15744967,1,60415
2003.0,144024400,1,31105
1970.0,71924100,0,8930
1991.0,192562407,1,190069
2019.0,15744967,0,210098
2003.0,144133560,1,45930
1997.0,142362112,1,30139
1957.0,192562407,1,15245
1935.0,144133560,1,657
1981.0,33923547,0,2514
1972.0,185592680,1,95619
1974.0,127413603,0,2333
1941.0,185592680,1,7527
1974.0,17744445,0,3575
1960.0,127313418,0,450
1985.0,121332964,0,3834
1958.0,138885662,0,443
1940.0,205649164,1,1908
1951.0,138885662,1,3171
1967.0,138885662,0,812
1915.0,17744445,1,907
1883.0,71924100,1,1210
1943.0,15744967,1,1580
1970.0,127313418,0,859
1916.0,192562407,1,1189
1843.0,41008148,1,71
1920.0,144024400,1,320
1927.0,15744967,0,395
1893.0,144133560,1,91
1892.0,138885662,1,570
2020.0,192562407,1,616726
2020.0,95457728,1,14562
1977.0,86803240,1,52539
1981.0,185592680,1,178998
2005.0,192562407,1,460403
2013.0,17744445,1,93659
2001.0,144133560,1,40744
1937.0,138885662,1,1950
1992.0,138885662,0,3036
1996.0,39432304,0,6451
1990.0,162324750,1,19110
1973.0,185592680,0,15662
1944.0,71924100,1,8308
1939.0,121332964,1,1244
1955.0,41008148,0,475
1973.0,95457728,0,2211
1887.0,71924100,1,1148
1957.0,95457728,1,4197
1970.0,41008148,0,1865
1866.0,41008148,1,92
1968.0,144133560,1,3413
1936.0,127313418,1,1194
1922.0,144024400,1,369
1950.0,39432304,1,2098
1935.0,15744967,0,541
1844.0,41008148,1,79
1942.0,121332964,0,88
1962.0,144024400,0,557
1840.0,205649164,0,6
2021.0,162324750,1,2953
2001.0,192562407,1,361491
1994.0,86803240,1,246040
2000.0,144024400,0,16674
1962.0,39432304,1,3470
2010.0,162324750,1,75498
1994.0,17744445,0,10683
2014.0,142362112,0,25539
1980.0,162324750,1,11892
1978.0,127313418,1,14151
1981.0,95457728,1,12062
1909.0,71924100,1,3020
1972.0,39432304,1,5792
1982.0,205649164,1,15147
2015.0,39432304,1,158638
1961.0,17744445,1,5959
1972.0,127413603,0,1568
1984.0,95457728,0,4025
1901.0,205649164,1,706
1852.0,205649164,1,186
1945.0,127413603,0,531
1977.0,33923547,0,1815
1867.0,95457728,1,258
1933.0,127413603,1,3802
1959.0,127313418,0,377
1944.0,205649164,1,1428
1905.0,138885662,1,844
1915.0,205649164,0,134
2021.0,86803240,1,42777
2015.0,185592680,1,648022
2014.0,17744445,1,92966
1975.0,71924100,1,70750
2015.0,33923547,1,229914
1988.0,185592680,1,276014
1997.0,144133560,0,7604
2002.0,205649164,0,16394
1890.0,205649164,1,558
1924.0,86803240,1,1933
2016.0,86803240,1,882113
1958.0,41008148,1,6877
1994.0,205649164,0,7301
1946.0,142362112,0,640
1956.0,142362112,1,7135
1896.0,95457728,1,741
1973.0,144024400,0,2134
1907.0,142362112,1,1878
1972.0,71924100,0,9554
1894.0,144024400,0,21
1942.0,144133560,1,808
1949.0,162324750,1,933
1925.0,95457728,1,1460
1918.0,127413603,1,951
1938.0,71924100,1,9668
1958.0,39432304,1,3060
1876.0,138885662,1,288
1937.0,95457728,1,2316
1919.0,15744967,0,150
1953.0,41008148,0,448
1949.0,127313418,0,176
1954.0,39432304,0,162
1917.0,185592680,0,152
1923.0,144024400,0,97
1903.0,192562407,1,776
1854.0,15744967,1,59
2021.0,127413603,1,1560
1979.0,121332964,1,27153
2003.0,127413603,0,34785
2007.0,192562407,0,109784
2007.0,127313418,0,20945
1996.0,17744445,0,12054
1960.0,127313418,1,4621
1919.0,142362112,1,2273
1983.0,41008148,0,5182
2001.0,162324750,0,9254
1931.0,71924100,1,8112
1999.0,33923547,0,14682
1969.0,127313418,1,8136
1955.0,95457728,1,3733
1892.0,142362112,1,1325
1965.0,142362112,0,2032
1920.0,33923547,1,456
1929.0,162324750,1,458
1961.0,86803240,0,2934
1932.0,41008148,0,230
1940.0,17744445,0,6988
